,address,driving_time,public_trans_time,public_trans_option
1904,"Shlomo Ibn Gabirol St.  116,Tel Aviv-Yafo",typically 10 - 30 min,12 min,36
1905,Shalma Road Tel Aviv-Yafo,typically 12 - 30 min,20 min,1
1906,"Mikve Israel St.  4,Tel Aviv-Yafo",typically 8 - 22 min,20 min,23
1907,"Maapilei Egoz St.  84,Tel Aviv-Yafo",typically 10 - 26 min,17 min,36
1908,"Ivri St.  4,Tel Aviv-Yafo",typically 9 - 20 min,14 min,7
1909,"Mahal St.  14,Tel Aviv-Yafo",typically 9 - 26 min,40 min 3.3 km,709        710
1910,"Yad HaMaavir St.  1,Tel Aviv-Yafo",typically 16 - 40 min,25 min,80    בנימינה-בנימינה גבעת עדה<->לוד-לוד
1911,Uri Tsvi Grinberg St. Tel Aviv-Yafo,typically 18 - 45 min,45 min,713    705
1912,"Ben Yehuda St.  36,Tel Aviv-Yafo",typically 12 - 28 min,20 min,8
1913,"Shloshet ha-Khitsim St.  3,Tel Aviv-Yafo",typically 14 - 30 min,27 min,46
1914,"Sderot Hachmei Israel  58,Tel Aviv-Yafo",typically 9 - 24 min,25 min,46
1915,"Livne St.  6,Tel Aviv-Yafo",typically 12 - 30 min,20 min,36
1916,"Maapilei Egoz St.  39,Tel Aviv-Yafo",typically 10 - 28 min,21 min,36
1917,Ringelblum St. Tel Aviv-Yafo,typically 12 - 28 min,20 min,7
1918,"Netaim St.  21,Tel Aviv-Yafo",typically 10 - 20 min,18 min,7
1919,Isaac Stern St. Tel Aviv-Yafo,typically 14 - 35 min,31 min,8
1920,"Ben Akhituv St.  7,Tel Aviv-Yafo",typically 22 - 50 min,32 min,46
1921,"Wingate St.  1,Tel Aviv-Yafo",typically 4 - 10 min,15 min,46
1922,"Maapilei Egoz St.  38,Tel Aviv-Yafo",typically 10 - 28 min,22 min,36
1923,"Yunitsman St.  1,Tel Aviv-Yafo",typically 20 - 40 min,24 min,606
1924,"Mahal St.  62,Tel Aviv-Yafo",typically 12 - 35 min,23 min,11
1925,HaKongres St. Tel Aviv-Yafo,typically 9 - 24 min,19 min,46
1926,"Shlomo Ibn Gabirol St.  116,Tel Aviv-Yafo",typically 10 - 30 min,12 min,36
1927,Shaul Avigur St. Tel Aviv-Yafo,typically 18 - 45 min,21 min,606
1928,"Shvat St.  28,Tel Aviv-Yafo",typically 10 - 22 min,18 min,7
1929,"Wingate St.  1,Tel Aviv-Yafo",typically 4 - 10 min,15 min,46
1930,Michelangelo St. Tel Aviv-Yafo,typically 18 - 45 min,29 min,46
1931,Sderot Levi Eshkol Tel Aviv-Yafo,typically 14 - 35 min,20 min,606
1932,Haskel St. Tel Aviv-Yafo,typically 9 - 26 min,13 min,46
1933,"Hartuv St.  9,Tel Aviv-Yafo",typically 9 - 26 min,20 min,59
1934,Shtulim St. Tel Aviv-Yafo,typically 10 - 20 min,19 min,7
1935,"Mount Hermon  1,Or Yehuda",typically 12 - 30 min,52 min 4.1 km,707    705
1936,"Tamuz St.  21,Tel Aviv-Yafo",typically 9 - 20 min,21 min,7
1937,Lehi Road Tel Aviv-Yafo,typically 10 - 22 min,39 min 3.1 km,709        710
1938,HaYarkon St. Tel Aviv-Yafo,typically 12 - 35 min,37 min 2.9 km,705
1939,"Mahal St.  70,Tel Aviv-Yafo",typically 10 - 35 min,22 min,36
1940,Shtulim St. Tel Aviv-Yafo,typically 10 - 20 min,19 min,7
1941,"Shlomo Ibn Gabirol St.  116,Tel Aviv-Yafo",typically 10 - 30 min,12 min,36
1942,"Sderot Sheshet HaYamim  30,Tel Aviv-Yafo",typically 10 - 26 min,23 min,36
1943,Tagore St. Tel Aviv-Yafo,typically 16 - 40 min,23 min,171
1944,"Maapilei Egoz St.  40,Tel Aviv-Yafo",typically 10 - 28 min,22 min,36
1945,"Haim Barlev Road  173,Tel Aviv-Yafo",typically 10 - 35 min,20 min,59
1946,"Tsonzer St.  6,Tel Aviv-Yafo",typically 14 - 30 min,21 min,7
1947,"Lehi Road  36,Tel Aviv-Yafo",typically 10 - 20 min,17 min,7
1948,"Wingate St.  1,Tel Aviv-Yafo",typically 4 - 10 min,15 min,46
1949,"Sderot Yad LaBanim  23,Tel Aviv-Yafo",typically 8 - 18 min,13 min,46
1950,Ein Ganim St. Petah Tikva,typically 35 min - 1 hr 10 min,42 min,49    1
1951,Ein Ganim St. Petah Tikva,typically 35 min - 1 hr 10 min,42 min,49    1
1952,Ha-Hagana St. Bat Yam,typically 18 - 50 min,25 min,240
1953,Brenner St. Bat Yam,typically 22 - 55 min,43 min,46
1954,HaTsanhanim St. Holon,typically 16 - 40 min,NA,NA
1955,"Ibn Gabirol St.  45,Afula",typically 1 hr 40 min - 4 hr 10 min,2 hr 6 min,3    825
1956,"Dudu Dotan St.  6,Netanya",typically 35 min - 1 hr 10 min,46 min,600
1957,"Sderot HaKongres  22,Ramat Gan",typically 12 - 35 min,27 min,364
1958,"Sderot Moshe Sharet  19,Kiryat Yam",typically 1 hr 40 min - 3 hr,1 hr 49 min,23    כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
1959,"Beeri St.  10,Netanya",typically 45 min - 1 hr 25 min,42 min,650
1960,"Ha-Podim St.  4,Ramat Gan",typically 14 - 35 min,20 min,75
1961,Uzi Hitman St. Ramla,typically 35 min - 1 hr 20 min,57 min,458
1962,Ein Dor St. Rishon LeTsiyon,typically 28 min - 1 hr,51 min,193
1963,Weizmann St. Tel Aviv-Yafo,typically 7 - 20 min,17 min,בנימינה-בנימינה גבעת עדה<->לוד-לוד
1964,"HaRav Maze St.  1,Netanya",typically 45 min - 1 hr 30 min,50 min,16    נתניה-נתניה<->בית שמש-בית שמש
1965,Derech Raziel Netanya,typically 45 min - 1 hr 40 min,41 min,650
1966,"HaBrigada HaYehudit St.  48,Netanya",typically 40 min - 1 hr 15 min,52 min,600
1967,"Balfour St.  11,Netanya",typically 45 min - 1 hr 40 min,54 min,25    בנימינה-בנימינה גבעת עדה<->לוד-לוד
1968,"Smilanski St.  69,Netanya",typically 40 min - 1 hr 20 min,53 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד
1969,"Ha-Rav Nisim St.  15,Ashdod",typically 45 min - 1 hr 40 min,46 min,280
1970,"Balfour St.  60,Nahariyya",typically 2 hr - 3 hr 20 min,2 hr 7 min,8    נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
1971,Khokhit St. Beer Sheva,typically 1 hr 30 min - 2 hr 30 min,1 hr 52 min,14        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
1972,"Aba Hillel Silver St.  15,Ashdod",typically 45 min - 1 hr 40 min,56 min,280
1973,Levi Eshkol St. Nahariyya,typically 2 hr - 3 hr 20 min,1 hr 57 min,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
1974,"HaKerem St.  19,Acre",typically 1 hr 50 min - 3 hr 10 min,1 hr 58 min,4    נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות
1975,Ben Yehuda St. Tel Aviv-Yafo,typically 10 - 28 min,16 min,8
1976,Ben Yehuda St. Tel Aviv-Yafo,typically 10 - 28 min,16 min,8
1977,Ayit St. Beer Sheva,typically 1 hr 30 min - 2 hr 30 min,1 hr 54 min,14        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
1978,Ben Yehuda St. Tel Aviv-Yafo,typically 10 - 28 min,16 min,8
1979,Ben Asher St. Beer Sheva,typically 1 hr 25 min - 2 hr 10 min,1 hr 39 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
1980,Ben Yehuda St. Tel Aviv-Yafo,typically 10 - 28 min,16 min,8
1981,Ben Yehuda St. Tel Aviv-Yafo,typically 10 - 28 min,16 min,8
1982,Kalman Porat St. Beer Sheva,typically 1 hr 20 min - 2 hr 10 min,1 hr 47 min,23        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
1983,Yerushalayim St. Bat Yam,typically 22 - 55 min,37 min,1
1984,Avraham Nisan St. Jerusalem,typically 1 hr 5 min - 1 hr 50 min,1 hr 31 min,10    1    ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
1985,"Sheshet HaYamim St.  6,Jerusalem",typically 1 hr - 1 hr 50 min,1 hr 13 min,68    ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
1986,Dam ha-Maccabim St. Tel Aviv-Yafo,typically 6 - 16 min,9 min,36
1987,Ha-Raaba St. Tel Aviv-Yafo,typically 9 - 22 min,21 min,46
1988,"Ha-Tavor St.  5,Ramla",typically 35 min - 1 hr 20 min,49 min,450
1989,"Dakar St.  9,Lod",typically 30 min - 1 hr,47 min,6    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
1990,"HaAlonim Boulevard  2,Beer Yaakov",typically 35 min - 1 hr 20 min,39 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
1991,HaAlonim Boulevard Beer Yaakov,typically 30 min - 1 hr 15 min,41 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
1992,Ha-Gefen St. Beer Yaakov,typically 35 min - 1 hr 10 min,40 min,157    240
1993,"HaHashmal St.  10,Haifa",typically 1 hr 30 min - 2 hr 50 min,1 hr 34 min,112        כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
1994,Derekh Shimshon Tsur Rehovot,typically 45 min - 1 hr 20 min,1 hr 15 min,18    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
1995,"Don Yosef HaNasi St.  3,Holon",typically 18 - 40 min,28 min,171
1996,"Derech Ben Gurion  83,Bat Yam",typically 24 min - 1 hr,38 min,6    אשקלון-אשקלון<->הרצליה-הרצליה
1997,HaKotel HaMaaravi St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 35 min,16        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
1998,"Bazelet St.  14,Rosh Haayin",typically 40 min - 1 hr 15 min,46 min,473
1999,Basel St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 32 min,16        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2000,Olei HaGardom St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 34 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2001,Hazani St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 38 min,11        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2002,Khogla St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 38 min,16        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2003,Bar Yokhai St. Jerusalem,typically 1 hr 5 min - 1 hr 40 min,1 hr 21 min,31    ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
2004,"Hazani St.  34,Beer Sheva",typically 1 hr 25 min - 2 hr 10 min,1 hr 37 min,11        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2005,Bar Kokhva St. Yeruham,NA,NA,NA
2006,Yitskhak Welbar St. Beer Sheva,typically 1 hr 30 min - 2 hr 20 min,1 hr 52 min,13        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2007,Kalischer St. Be'er Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 31 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2008,Alfasi St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,NA,NA
2009,Gideon Hausner St. Beer Sheva,typically 1 hr 20 min - 2 hr 10 min,NA,NA
2010,Beit El St. Beer Sheva,typically 1 hr 30 min - 2 hr 20 min,1 hr 40 min,27א        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2011,"Brenner St.  13,Tiberias",typically 1 hr 50 min - 3 hr 20 min,2 hr 6 min,836
2012,Amnon veTamar St. Ramla,typically 35 min - 1 hr 20 min,53 min,450
2013,"Nahal Zohar St.  52,Modiin-Maccabim-Reut",typically 40 min - 1 hr 10 min,50 min,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
2014,"Ha-Rav Herzog St.  53,Beer Sheva",typically 1 hr 25 min - 2 hr 20 min,1 hr 42 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2015,HaRav Yehya Kapah St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 42 min,27א        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2016,Mekor Khayim St. Beer Sheva,typically 1 hr 30 min - 2 hr 20 min,1 hr 58 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2017,Yosef Burg St. Beer Sheva,typically 1 hr 30 min - 2 hr 30 min,1 hr 45 min,14        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2018,"Kalischer St.  48,Beer Sheva",typically 1 hr 25 min - 2 hr 20 min,1 hr 31 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2019,David HaMelech St. Beer Sheva,typically 1 hr 25 min - 2 hr 10 min,1 hr 27 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2020,"Havakuk HaNavi St.  4,Ashdod",typically 45 min - 1 hr 40 min,57 min,34    280
2021,Sderot Yerushalayim Beersheba,typically 1 hr 30 min - 2 hr 20 min,1 hr 42 min,27א        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2022,"Mevo Hama  6,Rishon LeTsiyon",typically 24 min - 1 hr,40 min,190
2023,Derech HaShalom Beersheba,typically 1 hr 25 min - 2 hr 20 min,1 hr 25 min,באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2024,"Mivtsa Moshe St.  21,Be'er Sheva",typically 1 hr 30 min - 2 hr 30 min,1 hr 47 min,7        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2025,"Betsalel St.  31,Beer Sheva",typically 1 hr 25 min - 2 hr 20 min,1 hr 31 min,11        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2026,Olei HaGardom St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 34 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2027,Eliyahu ha-Navi St. Be'er Sheva,typically 1 hr 20 min - 2 hr 10 min,1 hr 27 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2028,Martin Buber St. Rishon LeTsiyon,typically 26 min - 1 hr 5 min,30 min,190
2029,"Elul St.  7,Ashdod",typically 50 min - 1 hr 40 min,58 min,11    280
2030,"Fikus St.  5,Tel Aviv-Yafo",typically 18 - 45 min,33 min,1
2031,"David HaMelech St.  21,Beer Sheva",typically 1 hr 25 min - 2 hr 10 min,1 hr 27 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2032,"HaRav Tana St.  12,Beer Sheva",typically 1 hr 30 min - 2 hr 20 min,1 hr 51 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2033,Abba Eban St. Jerusalem,typically 55 min - 1 hr 30 min,1 hr 3 min,ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
2034,"אורגד  3,Netanya",typically 45 min - 1 hr 30 min,55 min,16    נתניה-נתניה<->בית שמש-בית שמש
2035,Moshe Hess St. Holon,typically 20 - 50 min,34 min,89
2036,Ha-Rav Yaakov Berman St. Rehovot,typically 40 min - 1 hr 30 min,56 min,8    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
2037,Tel-Chay Boulevard Ashdod,typically 50 min - 1 hr 40 min,1 hr 7 min,281
2038,"HaSlav St.  11,Jerusalem",typically 1 hr 5 min - 1 hr 50 min,1 hr 24 min,531        ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
2039,Uruguay St. Jerusalem,typically 1 hr - 1 hr 40 min,NA,NA
2040,Herzog St. Ra'anana,typically 30 min - 1 hr 5 min,39 min,504    200
2041,"HaHagana St.  38,Givatayim",typically 6 - 16 min,14 min,364
2042,"Snunit St.  60,Ness Ziona",typically 40 min - 1 hr 10 min,57 min,13    277
2043,HaMigdal HaLavan St. Ramla,typically 35 min - 1 hr 15 min,49 min,450
2044,"Mordekhai ha-Yehudi St.  15,Jerusalem",typically 1 hr 10 min - 2 hr,1 hr 20 min,75    ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
2045,"HaMargalit St.  2,Jerusalem",typically 1 hr 5 min - 1 hr 50 min,1 hr 32 min,31    ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
2046,"Barak St.  21,Ariel",typically 55 min - 1 hr 40 min,1 hr 3 min,586
2047,"Simha Holtsberg St.  15,Ramla",typically 35 min - 1 hr 15 min,49 min,450
2048,"Nitsa Boulevard  8,Netanya",typically 50 min - 1 hr 40 min,49 min,650
2049,Yedaaya ha-Pnini St. Tel Aviv-Yafo,typically 10 - 26 min,23 min,46
2050,"Gadish St.  10,Tel Aviv-Yafo",typically 9 - 20 min,20 min,7
2051,"Vered St.  20,Tel Aviv-Yafo",typically 10 - 26 min,17 min,46
2052,"Misgav Am St.  12,Tel Aviv-Yafo",typically 16 - 35 min,27 min,46
2053,"Vered St.  20,Tel Aviv-Yafo",typically 10 - 26 min,17 min,46
2054,"Gadish St.  10,Tel Aviv-Yafo",typically 9 - 20 min,20 min,7
2055,Khaviva Reik St. Tel Aviv-Yafo,typically 10 - 22 min,15 min,46
2056,"Khaviva Reik St.  1,Tel Aviv-Yafo",typically 10 - 22 min,15 min,46
2057,"Misgav Am St.  12,Tel Aviv-Yafo",typically 16 - 35 min,27 min,46
2058,"Ahimaats St.  24,Tel Aviv-Yafo",typically 10 - 20 min,19 min,7
2059,"Ahvat Adam St.  1,Kfar Yona",typically 55 min - 2 hr,1 hr 8 min,130    נתניה-נתניה<->בית שמש-בית שמש
2060,"Ha-93 St.  4,Netanya",typically 40 min - 1 hr 25 min,41 min,827
2061,"Egoz St.  16,Lod",typically 30 - 55 min,35 min,460
2062,Helets St. Rishon LeTsiyon,typically 35 min - 1 hr,39 min,190
2063,Helets St. Rishon LeTsiyon,typically 35 min - 1 hr,39 min,190
2064,Helets St. Rishon LeTsiyon,typically 35 min - 1 hr,39 min,190
2065,"HaTanaim St.  13,Netanya",typically 45 min - 1 hr 30 min,52 min,16    נתניה-נתניה<->בית שמש-בית שמש
2066,"Meir Nakar St.  39,Jerusalem",typically 1 hr 15 min - 2 hr,1 hr 31 min,78    ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
2067,Ha-Hagana St. Bat Yam,typically 18 - 50 min,25 min,240
2068,Rogozin St. Ashdod,typically 50 min - 1 hr 50 min,47 min,280
2069,"HaMaapilim St.  17,Bat Yam",typically 20 - 50 min,26 min,240
2070,HaTanaim St. Holon,typically 18 - 55 min,36 min,171
2071,"Herzl St.  2,Bat Yam",typically 22 - 50 min,38 min,46
2072,"Moshe Stav St.  5,Beer Sheva",typically 1 hr 30 min - 2 hr 20 min,1 hr 59 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2073,Moshe Dayan St. Holon,typically 22 min - 1 hr,36 min,240
2074,Olei HaGardom St. Netanya,typically 40 min - 1 hr 20 min,41 min,650
2075,Emek Dotan St. Holon,typically 22 - 55 min,40 min,89
2076,Ha-Palmakh St. Holon,typically 18 - 40 min,32 min,71
2077,HaLohamim St. Even Yehuda,typically 40 min - 1 hr 15 min,51 min,111    נתניה-נתניה<->בית שמש-בית שמש
2078,Nov St. Rishon LeTsiyon,typically 24 min - 1 hr 5 min,35 min,190
2079,Sderot Oved Ben Ami Netanya,typically 35 min - 1 hr 15 min,52 min,600
2080,Ha-Dekel St. Ashdod,typically 50 min - 1 hr 40 min,49 min,280
2081,"Menora St.  6,Jerusalem",typically 1 hr - 1 hr 40 min,1 hr 12 min,75    ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
2082,Rabi Nekhemya Mota St. Rishon LeTsiyon,typically 30 min - 1 hr 15 min,49 min,193
2083,"Tnuot ha-Noar St.  13,Rishon LeTsiyon",typically 24 min - 1 hr 5 min,40 min,95    190
2084,Yehuda Leib Pinsker St. Rishon LeTsiyon,typically 26 - 55 min,NA,NA
2085,Livorno St. Bat Yam,typically 20 - 55 min,29 min,240
2086,Korkidi St. Tel Aviv-Yafo,typically 20 - 45 min,28 min,7
2087,Emek HaHula St. Ramat Gan,typically 14 - 40 min,29 min,364
2088,"Pnina U-Moshe St.  3,Rishon LeTsiyon",typically 30 min - 1 hr,46 min,5        193
2089,"Herzl St.  38,Netanya",typically 40 min - 1 hr 20 min,39 min,650
2090,"Mordei ha-Getaot St.  40,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,45 min,193
2091,"Khakhmei Atuna St.  52,Tel Aviv-Yafo",typically 12 - 28 min,25 min,46
2092,Elul St. Ashdod,typically 50 min - 1 hr 40 min,1 hr,11    280
2093,Khartsit St. Netanya,typically 35 min - 1 hr 10 min,47 min,605
2094,"Yonatan Netanyahu St.  6,Ashkelon",typically 55 min - 2 hr,1 hr 11 min,304
2095,"Shlomo Eliraz St.  1,Rishon LeTsiyon",typically 30 min - 1 hr,47 min,193
2096,"Yehuda Halevi St.  3,Rishon LeTsiyon",typically 30 min - 1 hr,37 min,193
2097,Aba Akhimeir St. Tel Aviv-Yafo,typically 16 - 40 min,23 min,171
2098,Ha-Atsmaut St. Ashdod,typically 50 min - 1 hr 40 min,1 hr 6 min,280
2099,Dov Yosef St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 44 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2100,Mivtsa Moshe St. Be'er Sheva,typically 1 hr 30 min - 2 hr 30 min,1 hr 53 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2101,"Lehi St.  10,Netanya",typically 40 min - 1 hr 20 min,48 min,827
2102,Keren HaYesod St. Bat Yam,typically 22 min - 1 hr,32 min,240
2103,"Herzl St.  88,Bat Yam",typically 22 - 55 min,42 min,46
2104,Mikhael Neeman St. Tel Aviv-Yafo,typically 22 - 45 min,27 min,606
2105,"HaRav Tana St.  10,Beer Sheva",typically 1 hr 30 min - 2 hr 20 min,1 hr 51 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
2106,"Ha-Tsiyonut St.  71,Ashdod",typically 45 min - 1 hr 40 min,1 hr 5 min,22    אשקלון-אשקלון<->הרצליה-הרצליה
2107,"Etsel St.  13,Ramat Gan",typically 16 - 45 min,25 min,60
2108,Ha-Rishonim St. Petah Tikva,typically 30 min - 1 hr 15 min,38 min,1
2109,Ben Yehuda St. Tel Aviv-Yafo,typically 10 - 28 min,16 min,8
2110,"Trumpeldor St.  58,Tel Aviv-Yafo",typically 10 - 26 min,14 min,8
2111,Arnon St. Tel Aviv-Yafo,typically 12 - 30 min,17 min,62
2112,Israelis St. Tel Aviv-Yafo,typically 10 - 28 min,16 min,8
2113,Ben Yehuda St. Tel Aviv-Yafo,typically 10 - 28 min,16 min,8
2114,"HaNesiim St.  10,Tel Aviv-Yafo",typically 9 - 22 min,13 min,91
2115,HaYarkon St. Tel Aviv-Yafo,typically 12 - 35 min,37 min 2.9 km,705
2116,"Yeshurun St.  3,Tel Aviv-Yafo",typically 12 - 35 min,17 min,8
2117,Rav Hai Gaon St. Tel Aviv-Yafo,typically 18 - 40 min,31 min,46
2118,Metsada St. Tel Aviv-Yafo,typically 12 - 35 min,17 min,8
2119,Yisrael Galili St. Tel Aviv-Yafo,typically 12 - 35 min,26 min,8
2120,Mapu St. Tel Aviv-Yafo,typically 12 - 35 min,17 min,8
2121,Rachel Imenu St. Jerusalem,typically 1 hr 5 min - 1 hr 50 min,1 hr 22 min,18        ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
2122,Ha-Shlosha St. Bat Yam,typically 20 - 50 min,29 min,240
2123,Shalom Aleichem St. Bat Yam,typically 20 - 55 min,33 min,240
2124,Shalom Aleichem St. Bat Yam,typically 20 - 55 min,33 min,240
2125,Masaryk St. Bat Yam,typically 22 min - 1 hr,33 min,6    אשקלון-אשקלון<->הרצליה-הרצליה
2126,Masaryk St. Bat Yam,typically 22 min - 1 hr,33 min,6    אשקלון-אשקלון<->הרצליה-הרצליה
2127,Masaryk St. Bat Yam,typically 22 min - 1 hr,33 min,6    אשקלון-אשקלון<->הרצליה-הרצליה
2128,"Shalom Aleichem St.  2,Bat Yam",typically 20 - 55 min,44 min,46
2129,"Sheshet ha-Yamim St.  30,Bat Yam",typically 22 - 55 min,30 min,240
2130,Shalom Aleichem St. Bat Yam,typically 20 - 55 min,33 min,240
2131,Shalom Aleichem St. Bat Yam,typically 20 - 55 min,33 min,240
2132,Arieh Ben Eliezer St. Jerusalem,typically 1 hr 5 min - 1 hr 50 min,1 hr 24 min,31    ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
2133,"HaNofech St.  243,Jerusalem",typically 1 hr 5 min - 1 hr 50 min,1 hr 22 min,531        ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
2134,Sderot Hativat Yiftach Lod,typically 35 min - 1 hr 5 min,33 min,22    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
2135,Yakinton St. Jerusalem,typically 1 hr 10 min - 1 hr 50 min,1 hr 32 min,531        ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
2136,"Hativat Carmeli St.  23,Haifa",typically 1 hr 30 min - 2 hr 50 min,1 hr 35 min,112        כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
2137,HaBrigada HaYehudit St. Netanya,typically 40 min - 1 hr 15 min,50 min,600
2138,Ha-Asif St. Haifa,typically 1 hr 30 min - 2 hr 50 min,1 hr 39 min,3        כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
2139,"Shaul ha-Melekh St.  4,Ashdod",NA,NA,NA
2140,"Derekh ha-Bsamim  14,Eilat",NA,NA,NA
2141,"Shmaryahu Levin St.  15,Tel Aviv-Yafo",typically 6 - 18 min,10 min,8
2142,Karl Netter St. Rishon LeTsiyon,typically 28 - 55 min,39 min,193
2143,"Ha-Perakh St.  94,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,45 min,193
2144,"Tsora St.  3,Holon",typically 20 - 40 min,42 min,289    171
2145,Ha-Sar Shapira St. Bat Yam,typically 24 min - 1 hr,NA,NA
2146,HaPalmach St. Bat Yam,typically 20 - 50 min,31 min,240
2147,Shabazi St. Ramla,typically 35 min - 1 hr 15 min,41 min,450
2148,"Agas St.  9,Ashdod",typically 50 min - 1 hr 40 min,1 hr 6 min,20    280
2149,Mishol Susya Beersheba,typically 1 hr 30 min - 2 hr 20 min,1 hr 49 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
